LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
83114-9,S100 calcium binding protein B [Mass/volume] in Serum by Immunoassay,Test: S100 calcium binding protein B | System: Ser | Units: ug/L | Info: This term is intended for the quantitative measurement of S100 calcium-binding protein B (S100B) in 
83117-2,Thyroglobulin IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,"Test: Thyroglobulin Ab.IgG | System: Ser/Plas | Units: IU/mL | Info: This term was created for, but is not limited in use to, bioMerieux's VIDAS Anti-Tg assay, which is "
83118-0,Thyroperoxidase IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,"Test: Thyroperoxidase Ab.IgG | System: Ser/Plas | Units: IU/mL | Info: This term was created for, but is not limited in use to, bioMerieux's VIDAS Anti-TPO assay, which is"
83119-8,Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay,"Test: Thyroxine | System: Ser/Plas | Units: ug/L | Info: This term was created for, but is not limited in use to, bioMerieux's VIDAS T4 assay, which is inten"
83121-4,Thyroxine (T4) free [Moles/volume] in Serum or Plasma by Immunoassay,"Test: Thyroxine.free | System: Ser/Plas | Units: pmol/L | Info: This term was created for, but is not limited in use to, bioMerieux's VIDAS FT4 assay, which is inte"
83124-8,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay,"Test: Triiodothyronine | System: Ser/Plas | Units: ng/mL | Info: This term was created for, but is not limited in use to, bioMerieux's VIDAS T3 assay, which is inten"
83126-3,Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma by Immunoassay,"Test: Triiodothyronine.free | System: Ser/Plas | Units: pmol/L | Info: This term was created for, but is not limited in use to, bioMerieux's VIDAS FT3 assay, which is inte"
85358-0,Phosphatidylserine-prothrombin complex IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,Test: Phosphatidylserine-prothrombin complex Ab.IgM | System: Ser/Plas | Units: EIA units | Info: Quantitative analysis of IgM antibodies to the phosphatidylserine-prothrombin complex in serum or pl
85359-8,Phosphatidylserine-prothrombin complex IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,Test: Phosphatidylserine-prothrombin complex Ab.IgG | System: Ser/Plas | Units: EIA units | Info: Quantitative analysis of IgG antibodies to the phosphatidylserine-prothrombin complex in serum or pl
85379-6,Purine/Pyrimidine [Ratio] in Red Blood Cells by Spectrophotometry,Test: Purine/pyrimidine | System: RBC | Units: ratio | Info: The purine to pyrimidine ratio is a marker of pyrimidine-5-nucleotidase (P5N) which is an enzyme in 
85382-0,Osmolarity in Tear,Test: Osmolarity | System: Tear | Units: mOsm/L | Info: The osmolarity or concentration of the ocular tear fluid will indicate if the patient is being affec
85624-5,Kidney failure 2-year risk [Likelihood] by KFRE,"Test: Kidney failure 2Y risk | System: ^Patient | Units: % | Info: The two-year ""treated kidney failure"" risk as calculated by the Kidney Failure Risk Equation (KFRE),"
85625-2,Kidney failure 5-year risk [Likelihood] by KFRE,"Test: Kidney failure 5Y risk | System: ^Patient | Units: % | Info: The five-year ""treated kidney failure"" risk as calculated by the Kidney Failure Risk Equation (KFRE)"
85819-1,Clot firmness reduction [Length fraction] in Blood by Thromboelastography --60 min p max clot amplitude + heparinase,"Test: Clot firmness reduction^60M after maximum clot amplitude after addition of heparinase | System: Bld | Units: % | Info: In this assay, the reduction of clot firmness (i.e., clot lysis), is measured 60 minutes after maxim"
85820-9,Clot firmness reduction [Length fraction] in Blood by Thromboelastography --30 min p max clot amplitude + heparinase,"Test: Clot firmness reduction^30M after maximum clot amplitude after addition of heparinase | System: Bld | Units: % | Info: In this assay, the reduction of clot firmness (i.e., clot lysis), is measured 30 minutes after maxim"
86951-1,Lipoprotein associated phospholipase A2 [Enzymatic activity/volume] in Serum or Plasma,Test: Lipoprotein associated phospholipase A2 | System: Ser/Plas | Units: nmol/min/mL | Info: This term is used to report the function (enzymatic activity) rather than the amount of the enzyme.
87378-6,Isotopic Tubular extraction rate/1.73 sq M [Volume Rate/Area] in Serum or Blood,"Test: Tubular extraction rate/1.73 sq M | System: Ser/Bld | Units: mL/min/1.73 sq m | Info: This test is for the tubular extraction rate (TER) based on the clearance of a radioisotope (e.g., 9"
87437-0,Oxyhemoglobin [Mass/volume] in Plasma,Test: Oxyhemoglobin | System: Plas | Units: mg/dl | Info: Plasma oxyhemoglobin is used to evaluate for hemolysis when plasma free hemoglobin [LOINC: 721-1] ca
87449-5,Sulfur [Mass/volume] in Specimen,"Test: Sulfur | System: XXX | Units: mg/dl | Info: Quantitative measurement of sulfur levels in various human, veterinary, or environmental specimens, "
87451-1,Sodium [Mass/volume] in Specimen,"Test: Sodium | System: XXX | Units: mg/dL | Info: Quantitative measurement of sodium levels in various human, veterinary, or environmental specimens, "
87454-5,Potassium [Mass/volume] in Specimen,"Test: Potassium | System: XXX | Units: mg/dL | Info: Quantitative measurement of potassium levels in various human, veterinary, or environmental specimen"
87456-0,Phosphate [Mass/volume] in Specimen,"Test: Phosphate | System: XXX | Units: mg/dl | Info: Quantitative measurement of phosphorus levels in various human, veterinary, or environmental specime"
87469-3,Magnesium [Mass/volume] in Specimen,"Test: Magnesium | System: XXX | Units: ug/dL | Info: Quantitative measurement of magnesium levels in various human, veterinary, or environmental specimen"
87471-9,Iron [Mass/volume] in Specimen,"Test: Iron | System: XXX | Units: ug/dL | Info: Quantitative measurement of iron levels in various human, veterinary, or environmental specimens, in"
87475-0,Chloride [Mass/volume] in Specimen,"Test: Chloride | System: XXX | Units: ug/mL | Info: Quantitative measurement of chloride levels in various clinical or veterinary specimens, including s"
87477-6,Calcium in Specimen,"Test: Calcium | System: XXX | Units: % | Info: Quantitative measurement of calcium levels in various clinical or veterinary specimens, including ti"
87480-0,Bone ash/Bone.total in Bone,Test: Bone ash/Bone.total | System: Bone | Units: % | Info: The percent bone ash is used to detect osteopenic disease and determine the animal's nutritional sta
87498-2,3-Methoxytyramine.free/Creatinine [Molar ratio] in 24 hour Urine,Test: 3-Methoxytyramine.free/Creatinine | System: Urine | Units: nmol/mmol creatinine | Info: Part description for 3-Methoxytyramine: 3-methoxytyramine is a catecholamines derivative found in th
87499-0,3-Methoxytyramine.free [Molar ratio] in Urine,Test: 3-Methoxytyramine.free | System: Urine | Units: umol/mmol creatinine | Info: Part description for 3-Methoxytyramine: 3-methoxytyramine is a catecholamines derivative found in th
88018-7,Alanine/Lysine [Mass Ratio] in DBS,Test: Alanine/Lysine | System: Bld.dot | Units: ratio | Info: Elevated alanine levels is suggestive of a metabolic disorder. Since alanine levels can fluctuate de
88055-9,Liver fibrosis score in Serum by Calculated by ELF,"Test: Liver fibrosis score | System: Ser | Units: score | Info: This term was created for but is not limited to, the Enhanced Liver Fibrosis Score (ELF), which is i"
88106-0,Parathyrin.intact [Mass/volume] in Tissue fine needle aspirate,Test: Parathyrin.intact | System: Tiss.FNA | Units: pg/mL | Info: Parathyroid hormone (PTH) analysis in rinsed material obtained from fine-needle aspiration biopsy (F
88713-3,Phosphate [Mass/volume] in Stool,Test: Phosphate | System: Stool | Units: mg/dl | Info: Need a result level LOINC too
88888-3,"Pancreatic stone protein [Mass/volume] in Serum, Plasma or Blood by Rapid immunoassay","Test: Pancreatic stone protein | System: Ser/Plas/Bld | Units: ng/mL | Info: Quantitative levels of pancreatic stone protein in blood, serum or plasma specimens. This term was c"
88993-1,Acute kidney injury risk [Likelihood] by Calculated by NephroCheck,"Test: Acute kidney injury risk | System: ^Patient | Units: risk | Info: This term was created for the NephroCheck® test kit, which calculates the likelihood of acute kidney"
88996-4,Eicosapentaenoate (C20:5w3)/Arachidonate (C20:4w6) [Molar ratio] in Serum or Plasma,Test: Eicosapentaenoate/Arachidonate | System: Ser/Plas | Units: molar ratio | Info: A descreased ratio of eiscospentaenoate/arachidonate is a well recognized predictor of cardiovascula
88998-0,Omega-3 (EPA+DHA) index in Serum or Plasma,"Test: Eicosapentaenoate+Docosahexaenoate/Fatty acids.C14-C24 | System: Ser/Plas | Units: % | Info: The omega-3 index, defined as eicosapentaenoate (EPA)+ docosahexaenoate (DHA)/Fatty acids.C14-C24, i"
89324-8,Insulin intact [Units/volume] in Serum by LC/MS/MS,Test: Insulin.intact | System: Ser | Units: uIU/mL | Info: Intact insulin in serum is primarily measured for the assessment of insulin resistant syndromes and 
89363-6,Cholinesterase [Enzymatic activity/volume] in Body fluid,Test: Cholinesterase | System: Body fld | Units: kU/L | Info: This test can be run on body fluids that include the following: ascites; pleural fluid; synovial flu
89366-9,von Willebrand factor collagen binding adhesion inhibitor [Units/volume] in Platelet poor plasma by Chromogenic method,Test: von Willebrand factor collagen binding adhesion inhibitor | System: PPP | Units: Bethesda units/mL | Info: This terms was created for but not limited in use by TECHNOZYM vWF:CBA ELISA. The assay determines t
89579-7,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,"Test: Troponin I.cardiac | System: Ser/Plas | Units: ng/L | Info: The ""high sensitivity"" troponin assays manufactured by different vendors have different analytical c"
90237-9,Phenylacetylcarnitine (PheC2) [Moles/volume] in Serum or Plasma,"Test: Phenylacetylcarnitine (PheC2) | System: Ser/Plas | Units: nmol/mL | Info: The pattern of acylcarnitines, including phenylacetylcarnitine, is used to help diagnose and differe"
90919-2,Coagulation factor VIII.recombinant.bound/von Willebrand factor (vWf) Ag in Plasma by Immunoassay,Test: Coagulation factor VIII.recombinant.bound/von Willebrand factor Ag | System: Plas | Units: ratio | Info: This test measures the binding activity of von Willebrand factor (vWF) to Factor VIII as the ratio o
91120-6,Antithrombin in Platelet poor plasma by Chromo.no addition of heparin,"Test: Antithrombin | System: PPP | Units: % | Info: This term represents an antithrombin (AT) assay which, in contrast to typical AT assays, is performe"
91128-9,Clot strength [Length fraction] in Blood by Thromboelastography.platelet adenosine diphosphate receptor inhibited,Test: Clot strength | System: Bld | Units: % | Info: Calculation of percentage of clot strength that is lost due to inhibition of adenosine diphosphate (
91671-8,Transferrin.carbohydrate deficient.disialo/Transferrin.total standardized per IFCC-RMP for CDT in Serum or Plasma,Test: Transferrin.carbohydrate deficient.disialo/Transferrin.total^^standardized per IFCC-RMP for CDT | System: Ser/Plas | Units: % | Info: The percent fraction of disialotransferrin to total transferrin standardized per the International F
92726-9,17-Hydroxyprogesterone [Mass/volume] in DBS by LC/MS/MS,Test: 17-Hydroxyprogesterone | System: Bld.dot | Units: ng/mL | Info: This term should be used to report the 17-hydroxyprogesterone dried blood spot confirmatory testing 
92845-7,Insulin resistance score in Serum by Calculated.CardioIQ,"Test: Insulin resistance score | System: Ser | Units: score | Info: This term was created for Quest Diagnostics' CardioIQ insulin resistance score, which is part of the"
92891-1,Coagulation.INR goal in Platelet poor plasma by Prothrombin time (PT),Test: Coagulation.INR goal | System: PPP | Units: INR | Info: The patient-specific INR goal. This goal may be based on population-level or disease-specific guidel
92896-0,Aldosterone [Mass/volume] in Serum or Plasma by Radioimmunoassay (RIA),Test: Aldosterone | System: Ser/Plas | Units: ng/dL | Info: Aldosterone concentration measured by radioimmunoassay (RIA) and chemiluminescent immunoassay are we
93237-6,aPTT.lupus sensitive.excess phospholipid post heparin neutralization actual/normal in Platelet poor plasma by Coagulation assay,"Test: Coagulation actual/Normal | System: PPP | Units: % | Info: Normalized, confirmatory lupus sensitive aPTT measured after heparin neutralization, which removes t"
93450-5,Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Chromogenic method,Test: Coagulation factor VIII Inhibitor | System: PPP | Units: Bethesda units/mL | Info: This term is created for but not restricted in use to a Nijmegen modification of the classic Bethesd
93695-5,Liver steatosis score in Serum or Plasma,"Test: Liver steatosis score | System: Ser/Plas | Units: score | Info: An estimate of the degree of liver steatosis based on a panel of liver-associated markers, often exp"
93706-0,Ethyl sulfate+Ethyl glucuronide [Mass/volume] in Urine by Screen method,Test: Ethyl sulfate+Ethyl glucuronide | System: Urine | Units: ng/mL | Info: This term is used to report the total amount of ethyl glucuronide and ethyl sulfate present in the s
93732-6,IgE [Units/volume] in Tear,"Test: IgE | System: Tear | Units: kIU/L | Info: The level of IgE in a tear sample can help diagnose patients with allergic conjunctivitis, and highe"
93746-6,Protein catabolic rate based on 24 hour Urine [Calculated],Test: Protein catabolic rate | System: Urine | Units: g/24 H | Info: Protein catabolic rates can be used to estimate protein intake in dialysis patients and determine if
93769-8,Choriogonadotropin.intact+Beta subunit [Mass/volume] in Serum or Plasma,Test: Choriogonadotropin.intact+Beta subunit | System: Ser/Plas | Units: ug/L | Info: The sum of human chorionic gonadotropin (hCG) plus the hCG beta-subunit in human serum and plasma is
93772-2,4-hydroxyglutamate/Creatinine [Molar ratio] in Urine,Test: 4-hydroxyglutamate/Creatinine | System: Urine | Units: mmol/mol | Info: The ratio of 4-hydroxyglutamic acid (4OHGlu) levels to creatinine in urine are measured as part of t
93852-2,N-Acetylgalactosamine-4-Sulfatase/N-Acetylgalactosamine-6-Sulfatase [Enzymatic activity ratio] in Urine,Test: N-acetylgalactosamine-4-sulfatase/N-acetylgalactosamine-6-sulfatase | System: Urine | Units: U/U | Info: The ratio of N-acetylgalactosamine 4-sulfatase to N-acetylgalactosamine 6-sulfatase helps differenti
93876-1,Ceramide risk score in Plasma by calculation,Test: Ceramide risk score | System: Plas | Units: score | Info: The ceramide risk score is calculated based on the results for all measured ceramides. A higher scor
94381-1,"2,3-dinor 11 beta-Prostaglandin F2 alpha/Creatinine [Mass Ratio] in 24 hour Urine","Test: 2,3-dinor 11 beta-Prostaglandin F2 alpha/Creatinine | System: Urine | Units: pg/mg creatinine | Info: The ratio of 2,3-dinor 11 beta-Prostaglandin F2 alpha (2,3-BPG) to creatinine in 24 hour urine speci"
94487-6,Galactosylceramidase [Enzymatic activity/mass] in Leukocytes by Confirmatory method,Test: Galactosylceramidase | System: WBC | Units: nmol/H/mg protein | Info: Confirmatory testing methods may vary between laboratories and include Liquid Chromatography-Tandem 
94488-4,Acid alpha glucosidase [Enzymatic activity/mass] in Leukocytes by Confirmatory method,Test: Acid alpha glucosidase | System: WBC | Units: nmol/H/mg protein | Info: Confirmatory testing methods may vary between laboratories and include Liquid Chromatography-Tandem 
94554-3,"Soluble CD14 subtype [Mass/volume] in Serum, Plasma or Blood by Immunoassay","Test: Soluble CD14 subtype | System: Ser/Plas/Bld | Units: ng/L | Info: Quantitative mass concentration of soluble CD14-subtype (sCD14-ST, also known as Presepsin) in whole"
94567-5,Valine [Moles/volume] in Serum or Plasma --post therapeutic diet,Test: Valine^post therapeutic diet | System: Ser/Plas | Units: nmol/mL | Info: This test measures the valine level in patients who have been diagnosed with maple syrup urine disea
94568-3,Isoleucine [Moles/volume] in Serum or Plasma --post therapeutic diet,Test: Isoleucine^post therapeutic diet | System: Ser/Plas | Units: nmol/mL | Info: This test measures the isoleucine level in patients who have been diagnosed with maple syrup urine d
94569-1,Leucine [Moles/volume] in Serum or Plasma --post therapeutic diet,Test: Leucine^post therapeutic diet | System: Ser/Plas | Units: nmol/mL | Info: This test measures the leucine level in patients who have been diagnosed with maple syrup urine dise
94570-9,Alloisoleucine [Moles/volume] in Serum or Plasma --post therapeutic diet,Test: Alloisoleucine^post therapeutic diet | System: Ser/Plas | Units: nmol/mL | Info: This test measures the alloisoleucine level in patients who have been diagnosed with maple syrup uri
9467-2,Calcium [Mass/volume] in Water,Test: Calcium | System: Water | Units: ppm | Info: PPM=G/ML*10^6
9478-9,Magnesium [Mass/volume] in Water,Test: Magnesium | System: Water | Units: ppm | Info: PPM=G/ML*10^6
9482-1,Potassium [Mass/volume] in Water,Test: Potassium | System: Water | Units: ppm | Info: PPM=G/ML*10^6
94839-8,Calcium [Mass/volume] in Urine from Fetus,Test: Calcium | System: Urine^Fetus | Units: mg/dl | Info: Fetal urine analysis for various biochemicals can indicate abnormalities in renal function prior to 
94840-6,Chloride [Moles/volume] in Urine from Fetus,Test: Chloride | System: Urine^Fetus | Units: mmol/L | Info: Fetal urine analysis for various biochemicals can indicate abnormalities in renal function prior to 
94841-4,Potassium [Moles/volume] in Urine from Fetus,Test: Potassium | System: Urine^Fetus | Units: mmol/L | Info: Fetal urine analysis for various biochemicals can indicate abnormalities in renal function prior to 
94842-2,Sodium [Moles/volume] in Urine from Fetus,Test: Sodium | System: Urine^Fetus | Units: mmol/L | Info: Fetal urine analysis for various biochemicals can indicate abnormalities in renal function prior to 
94844-8,Creatinine [Mass/volume] in Urine from Fetus,Test: Creatinine | System: Urine^Fetus | Units: mg/dl | Info: Fetal urine analysis for various biochemicals can indicate abnormalities in renal function prior to 
9485-4,Sodium [Mass/volume] in Water,Test: Sodium | System: Water | Units: ppm | Info: PPM=G/ML*10^6
94858-8,Glycerol [Moles/volume] in Serum by calculation,Test: Glycerol | System: Ser | Units: mcmol/L | Info: Glycerol concentration calculated based on the difference between triglyceride (TG) and glycerol-cor
94865-3,Triglyceride [Mass/volume] corrected for glycerol in Serum,Test: Triglyceride^^corrected for glycerol | System: Ser | Units: mg/dl | Info: Used to differentiate true hypertriglyceridemia from pseudohypertriglyceridemia. Triglyceride is nor
95593-0,25-hydroxyvitamin D2 [Mass/volume] in Capillary blood,Test: Ercalcidiol | System: BldC | Units: ng/mL | Info: Capillary blood has been shown to yield statistically higher 25(OH)D levels compared with venipunctu
95594-8,25-hydroxyvitamin D3 [Mass/volume] in Capillary blood,Test: Calcidiol | System: BldC | Units: ng/mL | Info: Capillary blood has been shown to yield statistically higher 25(OH)D levels compared with venipunctu
96249-8,Artifact [#/area] in Urine by Computer assisted method,Test: Artifact | System: Urine | Units: /field | Info: Automated algorithms typically classify particles as artifact if they cannot be identified with a sp
96267-0,Delta Coagulation [Time] in Platelet poor plasma by aPTT W excess hexagonal phase phospholipid,Test: Delta Coagulation | System: PPP | Units: s | Info: The difference between the screening aPTT with hexagonal phospholipid (PL) and confirmatory aPTT wit
96450-2,Hepatotocellular carcinoma risk [Score] GALAD,Test: Hepatocellular carcinoma risk | System: ^Patient | Units: score | Info: The GALAD score provides the probability of a patient having hepatocellular carcinoma (HCC).  It is 
96460-1,Thyroglobulin [Mass/volume] in Serum or Plasma by Immunoassay --post thyroglobulin antibody neutralization,Test: Thyroglobulin^post thyroglobulin antibody neutralization | System: Ser/Plas | Units: ng/mL | Info: This assay is intended to report the concentration of thyroglobulin (Tg) based on a confirmatory met
96504-6,Protein/Osmolality [Ratio] in Urine,Test: Protein/Osmolality | System: Urine | Units: ratio | Info: The urine protein to osmolality ratio is significantly correlated with 24-hour urine protein excreti
96588-9,Cholesterol [Mass/volume] in DBS,Test: Cholesterol | System: Bld.dot | Units: mg/dl | Info: Testing of total cholesterol may be performed using a dried blood spot for general wellness screenin
96692-9,Platelet-induced clot retraction in Blood by Microviscometry.glass bead induced,"Test: Platelet-induced clot retraction | System: Bld | Units: Arb U | Info: Strength of clot retraction by microviscometry is considered a measure of platelet function, as plat"
96694-5,Rate of fibrin formation [Units] in Blood by Microviscometry.diatomaceous earth induced,Test: Rate of fibrin formation | System: Bld | Units: Clot signal units/min | Info: Microviscometer analyzers used clinically for coagulation assays commonly report a unit for clot for
96703-4,Clot initiation.kaolin induced/Clot initiation.kaolin induced post heparin neutralization [Time Ratio] in Blood by calculation,Test: Clot initiation.kaolin induced/Clot initiation.kaolin induced^post heparin neutralization | System: Bld | Units: ratio | Info: The ratio of the kaolin-induced clot initiation time to the kaolin-induced clot initiation time in t
96705-9,Clot stiffness reduction percent due to fibrinolysis in Blood by calculation,"Test: Clot stiffness reduction due to fibrinolysis | System: Bld | Units: % | Info: The reduction of clot stiffness due to the effects of fibrinolysis, calculated based on the differen"
96706-7,Clot stiffness.platelet contribution (elasticity) in Blood by calculation,Test: Clot stiffness.platelet contribution | System: Bld | Units: hPa | Info: Contribution of platelets to clot stiffness where clot stiffness induced by tissue factor with block
96707-5,Clot stiffness.fibrinogen contribution.tissue factor induced+platelet glycoprotein IIb-IIIa receptor inhibited (elasticity) in Blood by US --post heparin neutralization,"Test: Clot stiffness | System: Bld | Units: hPa | Info: Contribution of fibrinogen to clot stiffness, where clot formation is induced by tissue factor via t"
96803-2,24 hour predicted protein [Mass/time] based on random Urine by calculation,Test: 24H predicted protein | System: Urine | Units: mg/24 H | Info: Calculation of the predicted 24-hour urine protein based on the protein/osmolality ratio of a random
97012-9,Reduction in clot strength [Length fraction] in Blood by Thromboelastography.kaolin.tissue factor induced --30 minutes post maximum clot amplitude,Test: Reduction in clot strength^30M post maximum clot amplitude | System: Bld | Units: % | Info: Thrombelastography determination of percentage of clot strength lost due to fibrinolysis 30 minutes 
97016-0,Fibrinogen [Mass/volume] in Blood by calculation,Test: Fibrinogen | System: Bld | Units: mg/dL | Info: Calculated fibrinogen level based on thromboelastography or rotational thromboelastography measureme
97102-8,Phosphorylated tau 181/Amyloid beta 42 peptide [Ratio] in Cerebral spinal fluid,Test: Tau protein.phosphorylated 181/Amyloid beta 42 peptide | System: CSF | Units: ratio | Info: The ratio of phosphorylated tau-181 (p-tau(181)) to beta-amyloid 42 (Abeta42). To report the ratio o
97150-7,Prostate health index in Serum or Plasma by calculation,"Test: Prostate health index | System: Ser/Plas | Units: score | Info: The Prostate Health Index (PHI) combines total prostate specific antigen (PSA), free PSA and p2PSA i"
97505-2,Glucose standard deviation Calculated,Test: Glucose standard deviation | System: Interstitial fluid | Units: mg/dL | Info: Standard deviation (SD) is a metric used to monitor glycemic variability (GV) and evaluate glycemic 
97506-0,Glucose management indicator,Test: Glucose management indicator | System: Interstitial fluid | Units: % | Info: The glucose management indicator (GMI) approximates the laboratory A1C level expected based on avera
97507-8,Average glucose [Mass/volume] in Interstitial fluid during Reporting Period,Test: Glucose | System: Interstitial fluid | Units: mg/dL | Info: The average glucose value over a period of time and typically reported from a continuous glucose mon
97510-2,Glucose measurements in range out of Total glucose measurements during reporting period,Test: Glucose measurements in range/Total glucose measurements | System: Interstitial fluid | Units: % | Info: The percentage of blood glucose levels that are in a target range for patients using continuous gluc
97546-6,Base excess in Central venous blood by calculation,Test: Base excess | System: BldCV | Units: mmol/L | Info: Base excess refers to the amount of a strong acid required to bring back the blood pH to the normal 
97910-4,Endogenous thrombin potential [Area under the curve] in Platelet poor plasma by Chromogenic method,Test: Endogenous thrombin potential | System: PPP | Units: nM*min | Info: The endogenous thrombin potential is the area under the curve of a thrombin generation test (TGT). I
97911-2,Endogenous thrombin potential [Area under the curve] in Platelet poor plasma by Chromogenic method --after addition of factor VIII Ab,Test: Endogenous thrombin potential^after addition of Factor VIII Ab | System: PPP | Units: nM*min | Info: The endogenous thrombin potential (ETP) is the area under the curve of a thrombin generation test (T
97912-0,Thrombin peak [Molar amount] in Platelet poor plasma by Chromogenic method,Test: Thrombin peak | System: PPP | Units: nmol | Info: The peak thrombin is the maximum thrombin measurement during a thrombin generation test. Decreased p
97913-8,Thrombin peak [Molar amount] in Platelet poor plasma by Chromogenic method --after addition of factor VIII Ab,Test: Thrombin peak^after addition of Factor VIII Ab | System: PPP | Units: nmol | Info: The peak thrombin is the maximum thrombin measurement during a thrombin generation test. Decreased p
97914-6,Time to thrombin peak in Platelet poor plasma by Chromogenic method,Test: Time to thrombin peak | System: PPP | Units: min | Info: The time to peak thrombin activity during a thrombin generation test. [PMID: 21262433]
98238-9,Platelet-derived growth factor B+BB [Mass/volume] in Serum or Plasma,Test: Platelet-derived growth factor B+BB | System: Ser/Plas | Units: pg/mL | Info: This assay detects but does not differentiate between homomeric PDGF-B and dimeric PDGF-BB.
98487-2,Alzheimer's disease risk [Score] in Cerebral spinal fluid by calculation,"Test: Alzheimer's disease risk | System: CSF | Units: score | Info: This score is calculated based on Beta-Amyloid 42, 40, their ratio, and total ApoE in CSF, as well a"
98979-8,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI 2021)/1.73 sq M",Test: Glomerular filtration rate | System: Ser/Plas/Bld | Units: mL/min/1.73 sq M | Info: Glomerular filtration rate (GFR) is considered the best overall index of kidney function; however me
99061-4,Cholesterol.esterified actual/normal in Fibroblast,Test: Cholesterol.esterified actual/normal | System: Fibroblasts | Units: % | Info: The percent of the patient's esterified cholesterol result to the normal control result in fibroblas
13411-4,Phosphoserine [Mass/volume] in Amniotic fluid,Test: Phosphoserine | System: Amnio fld | Units: mg/dL | Info: 
13412-2,Proline [Mass/volume] in Amniotic fluid,Test: Proline | System: Amnio fld | Units: mg/dL | Info: 
13414-8,Serine [Mass/volume] in Amniotic fluid,Test: Serine | System: Amnio fld | Units: mg/dL | Info: 
13415-5,Taurine [Mass/volume] in Amniotic fluid,Test: Taurine | System: Amnio fld | Units: mg/dL | Info: 
13416-3,Threonine [Mass/volume] in Amniotic fluid,Test: Threonine | System: Amnio fld | Units: mg/dL | Info: 
13417-1,Tyrosine [Mass/volume] in Amniotic fluid,Test: Tyrosine | System: Amnio fld | Units: mg/dL | Info: 
13418-9,Tryptophan [Mass/volume] in Amniotic fluid,Test: Tryptophan | System: Amnio fld | Units: mg/dL | Info: 
13419-7,Valine [Mass/volume] in Amniotic fluid,Test: Valine | System: Amnio fld | Units: mg/dL | Info: 
13441-1,Creatinine renal clearance in 4 hour Urine and Serum or Plasma,Test: Creatinine renal clearance | System: Urine+Ser/Plas | Units: mL/min | Info: 
13446-0,Creatinine renal clearance/1.73 sq M in 4 hour Urine and Serum or Plasma,Test: Creatinine renal clearance/1.73 sq M | System: Urine+Ser/Plas | Units: mL/min | Info: 
13451-0,Creatinine dialysis fluid clearance,Test: Creatinine dialysis fluid clearance | System: Dial fld+Ser/Plas | Units: mL/min | Info: 
13452-8,Iron/Transferrin [Mass Ratio] in Serum or Plasma,Test: Iron/Transferrin | System: Ser/Plas | Units: ug/g | Info: 
13458-5,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,Test: Cholesterol.in VLDL | System: Ser/Plas | Units: mg/dL | Info: 
13462-7,Apolipoprotein A-I/Apolipoprotein B [Mass Ratio] in Serum or Plasma,Test: Apolipoprotein A-I/Apolipoprotein B | System: Ser/Plas | Units: ratio | Info: 
13474-2,Magnesium/Creatinine [Mass Ratio] in Urine,Test: Magnesium/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13480-9,18-Hydroxydeoxycortisol/Creatinine [Mass Ratio] in Urine,Test: 18-Hydroxydeoxycortisol/Creatinine | System: Urine | Units: ng/g creatinine | Info: 
13482-5,Aldosterone/Creatinine [Mass Ratio] in Urine,Test: Aldosterone/Creatinine | System: Urine | Units: ng/g creatinine | Info: 
13483-3,Oxalate/Creatinine [Mass Ratio] in Urine,Test: Oxalate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13484-1,Creatine/Creatinine [Mass Ratio] in Urine,Test: Creatine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13485-8,Beta-2-Microglobulin/Creatinine [Mass Ratio] in Urine,Test: Beta-2-Microglobulin/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13486-6,Testosterone/Creatinine [Mass Ratio] in Urine,Test: Testosterone/Creatinine | System: Urine | Units: ng/g creatinine | Info: 
13488-2,aPTT in Platelet poor plasma from Control by Coagulation assay,Test: Coagulation | System: PPP^Control | Units: s | Info: 
13506-1,Urea nitrogen renal clearance in Urine and Serum or Plasma,Test: Urea nitrogen renal clearance | System: Urine+Ser/Plas | Units: mL/min | Info: 
13536-8,Globulin [Mass/volume] in Plasma,Test: Globulin | System: Plas | Units: g/dL | Info: 
13538-4,"Carbon dioxide, total [Moles/volume] in Urine",Test: Carbon dioxide | System: Urine | Units: mmol/L | Info: 
13542-6,Phosphate [Mass/volume] in Cerebral spinal fluid,Test: Phosphate | System: CSF | Units: mg/dL | Info: 
